time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%,night
4/12/2019 12:57,2.392590687,ETH,IOST,Binance,Okex,1.06149738,13667,1.07061727,13652.333,0.00911989,0.859153299,0
4/12/2019 12:58,7.613347255,ETH,DASH,Coss,Binance,0.61539095,0.905,0.642806049,0.89319,0.027415099,4.454907696,0
4/12/2019 12:58,7.409520728,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.641478028,0.89319,0.026087078,4.239106466,0
4/12/2019 12:58,7.270695157,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.639231638,0.89319,0.023840688,3.874071869,0
4/12/2019 12:58,7.648641892,ETH,DASH,Coss,Okex,0.61539095,0.905,0.641942507,0.89319,0.026551557,4.314583626,0
4/12/2019 12:58,7.543521228,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.645543686,0.89319,0.030152736,4.899769199,0
4/12/2019 12:58,2.380952381,BTC,IOST,Binance,Okex,0.043848,17400,0.044277261,17381.6,0.000429261,0.97897557,0
4/12/2019 12:58,4.437124588,BTC,STORJ,Binance,Coss,0.05176386,1003,0.05274568,998.497,0.00098182,1.896729324,0
4/12/2019 12:58,2.380952381,BTC,IOST,Binance,Bittrex,0.09047808,35904,0.091805765,35867.096,0.001327685,1.467410572,0
4/12/2019 12:59,2.380952381,BTC,IOST,Kucoin,Okex,0.065541904,26008.6921,0.066432321,25981.68341,0.000890416,1.358545206,0
4/12/2019 12:59,3.516921035,BTC,GVT,Kucoin,Coss,0.045191122,59.974946,0.045329776,59.76497105,0.000138655,0.306818256,0
4/12/2019 12:59,2.380952381,BTC,IOST,Kucoin,Bittrex,0.065541904,26008.6921,0.066365161,25981.68341,0.000823257,1.256077701,0
4/12/2019 13:00,2.389516958,ETH,IOST,Binance,Okex,2.45554064,31546,2.470664831,31513.454,0.015124191,0.615921009,0
4/12/2019 13:01,7.613347255,ETH,DASH,Coss,Binance,0.61539095,0.905,0.642313174,0.89319,0.026922224,4.374816279,0
4/12/2019 13:01,7.409667789,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.640802344,0.89319,0.025411394,4.129308956,0
