time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%
4/12/2019 12:58,2.380952381,BTC,IOST,Binance,Okex,0.043848,17400,0.044277261,17381.6,0.000429261,0.97897557
4/12/2019 12:58,4.437124588,BTC,STORJ,Binance,Coss,0.05176386,1003,0.05274568,998.497,0.00098182,1.896729324
4/12/2019 12:58,2.380952381,BTC,IOST,Binance,Bittrex,0.09047808,35904,0.091805765,35867.096,0.001327685,1.467410572
4/12/2019 12:59,2.380952381,BTC,IOST,Kucoin,Okex,0.065541904,26008.6921,0.066432321,25981.68341,0.000890416,1.358545206
4/12/2019 12:59,3.516921035,BTC,GVT,Kucoin,Coss,0.045191122,59.974946,0.045329776,59.76497105,0.000138655,0.306818256
4/12/2019 12:59,2.380952381,BTC,IOST,Kucoin,Bittrex,0.065541904,26008.6921,0.066365161,25981.68341,0.000823257,1.256077701
4/12/2019 13:01,2.371541502,BTC,IOST,Binance,Okex,0.5,197628.4585,0.500340105,197429.83,0.000340105,0.068020912
4/12/2019 13:01,4.47761194,BTC,STORJ,Binance,Coss,0.05176386,1003,0.05274568,998.497,0.00098182,1.896729324
4/12/2019 13:01,2.766798419,BTC,IOST,Binance,Bittrex,0.5,197628.4585,0.5026931,197429.83,0.0026931,0.538620009
4/12/2019 13:02,3.174603175,BTC,IOST,Kucoin,Bittrex,0.250666849,98687.736,0.25157028,98588.04826,0.00090343,0.360410679
4/12/2019 13:05,38.45096242,BTC,THETA,Binance,Livecoin,0.03039706,1392,0.035369328,1390.508,0.004972268,16.35772669
4/12/2019 13:05,2.371541502,BTC,IOST,Binance,Okex,0.5,197628.4585,0.504326145,197429.83,0.004326145,0.865229044
4/12/2019 13:05,4.437124588,BTC,STORJ,Binance,Coss,0.0407224,789,0.041584358,784.711,0.000861958,2.116667465
4/12/2019 13:05,2.371541502,BTC,IOST,Binance,Bittrex,0.5,197628.4585,0.509564902,197429.83,0.009564902,1.912980331
4/12/2019 13:06,1.968503937,BTC,IOST,Kucoin,Okex,0.184626849,72687.736,0.18800727,72614.04826,0.00338042,1.830947336
4/12/2019 13:06,1.968503937,BTC,IOST,Kucoin,Bittrex,0.184626849,72687.736,0.184679562,72614.04826,5.27127E-05,0.028550946
4/12/2019 13:08,38.13443073,BTC,THETA,Binance,Livecoin,0.03083527,1409,0.035559534,1407.491,0.004724264,15.32097584
4/12/2019 13:08,3.162055336,BTC,IOST,Binance,Okex,0.5,196850.3937,0.504043898,196652.5433,0.004043898,0.808779505
4/12/2019 13:09,4.194857916,BTC,STORJ,Binance,Coss,0.0439605,850,0.044786412,845.65,0.000825912,1.878758772
4/12/2019 13:09,3.95256917,BTC,IOST,Binance,Bittrex,0.5,196850.3937,0.500107734,196652.5433,0.000107734,0.021546739
4/12/2019 13:09,2.755905512,BTC,IOST,Kucoin,Okex,0.289264263,113483.2267,0.292980117,113368.7435,0.003715854,1.28458798
4/12/2019 13:12,3.557312253,BTC,IOST,Binance,Okex,0.5,196850.3937,0.50231888,196652.5433,0.00231888,0.463775941
4/12/2019 13:12,4.215003867,BTC,STORJ,Binance,Coss,0.0579376,1120,0.058713567,1115.38,0.000775967,1.3393144
4/12/2019 13:12,3.95256917,BTC,IOST,Binance,Bittrex,0.5,196850.3937,0.500168241,196652.5433,0.000168241,0.033648208
4/12/2019 13:13,3.149606299,BTC,IOST,Kucoin,Okex,0.221453878,86844.6921,0.226181964,86756.84741,0.004728086,2.135020642
4/12/2019 13:13,3.543307087,BTC,IOST,Kucoin,Bittrex,0.221453878,86844.6921,0.223638484,86756.84741,0.002184606,0.986483635
4/12/2019 13:17,3.937007874,BTC,IOST,Binance,Okex,0.5,196850.3937,0.508048871,196652.5433,0.008048871,1.609774215
4/12/2019 13:17,3.99382597,BTC,STORJ,Binance,Coss,0.05320059,1025,0.053876034,1020.475,0.000675444,1.2696167
4/12/2019 13:17,3.543307087,BTC,IOST,Binance,Bittrex,0.5,196850.3937,0.500885293,196652.5433,0.000885293,0.177058601
4/12/2019 13:18,3.529411765,BTC,IOST,Kucoin,Okex,0.28913838,113433.6669,0.295732662,113319.2332,0.006594282,2.280666388
4/12/2019 13:18,3.137254902,BTC,IOST,Kucoin,Bittrex,0.28913838,113433.6669,0.296784509,113319.2332,0.007646129,2.644453185
4/12/2019 13:21,4.743083004,BTC,IOST,Binance,Okex,0.31771487,125579,0.3271004,125452.421,0.00938553,2.954073139
4/12/2019 13:21,3.95256917,BTC,IOST,Binance,Bittrex,0.31771487,125579,0.328615018,125452.421,0.010900148,3.430795531
4/12/2019 13:22,4.330708661,BTC,IOST,Kucoin,Okex,0.184268735,72592.9409,0.186068956,72519.34796,0.001800221,0.976954091
4/12/2019 13:22,3.543307087,BTC,IOST,Kucoin,Bittrex,0.184268735,72592.9409,0.188162859,72519.34796,0.003894124,2.113285221
4/12/2019 13:25,4.743083004,BTC,IOST,Binance,Okex,0.14853377,58709,0.152274441,58649.291,0.003740671,2.518397298
4/12/2019 13:25,3.71368097,BTC,STORJ,Binance,Coss,0.03025343,582,0.030625611,577.918,0.000372181,1.230210619
4/12/2019 13:25,3.95256917,BTC,IOST,Binance,Bittrex,0.14853377,58709,0.15290667,58649.291,0.0043729,2.944044525
4/12/2019 13:26,4.743083004,BTC,IOST,Kucoin,Okex,0.116884069,46017.3842,0.119526848,45970.36682,0.002642779,2.261025928
4/12/2019 13:26,3.95256917,BTC,IOST,Kucoin,Bittrex,0.116884069,46017.3842,0.12009981,45970.36682,0.003215741,2.75122234
4/12/2019 13:29,38.19762123,BTC,THETA,Binance,Livecoin,0.0326002,1492,0.036488188,1490.408,0.003887988,11.92627167
4/12/2019 13:29,4.330708661,BTC,IOST,Binance,Okex,0.5,196078.4314,0.500656511,195881.3529,0.000656511,0.131302142
4/12/2019 13:29,3.574173713,BTC,STORJ,Binance,Coss,0.05143722,989,0.052019863,984.511,0.000582643,1.132726178
4/12/2019 13:29,3.149606299,BTC,IOST,Binance,Bittrex,0.5,196078.4314,0.50366092,195881.3529,0.00366092,0.732184016
4/12/2019 13:30,4.743083004,BTC,IOST,Kucoin,Okex,0.0663,26000,0.067357219,25973,0.001057219,1.594598437
4/12/2019 13:30,3.557312253,BTC,IOST,Kucoin,Bittrex,0.0663,26000,0.0673616,25973,0.0010616,1.601206538
4/12/2019 13:33,3.921568628,BTC,IOST,Binance,Okex,0.5,196078.4314,0.507670277,195881.3529,0.007670277,1.534055403
4/12/2019 13:33,3.773584906,BTC,STORJ,Binance,Coss,0.06695562,1288,0.066989468,1283.212,3.38476E-05,0.050552363
4/12/2019 13:33,3.137254902,BTC,IOST,Binance,Bittrex,0.5,196078.4314,0.501854931,195881.3529,0.001854931,0.370986154
4/12/2019 13:34,4.330708661,BTC,IOST,Kucoin,Okex,0.102752363,40295.0443,0.106012427,40253.74926,0.003260064,3.172738626
4/12/2019 13:34,3.543307087,BTC,IOST,Kucoin,Bittrex,0.102752363,40295.0443,0.105077607,40253.74926,0.002325244,2.262959542
4/12/2019 13:37,3.921568628,BTC,IOST,Binance,Okex,0.5,195312.5,0.505071769,195116.1875,0.005071769,1.01435376
4/12/2019 13:38,3.921568628,BTC,IOST,Kucoin,Okex,0.086153885,33393.0124,0.088462571,33358.61939,0.002308686,2.679723577
4/12/2019 13:41,3.831417625,BTC,IOST,Binance,Okex,0.30246279,116781,0.319191144,116663.219,0.016728354,5.530714733
4/12/2019 13:43,3.831417625,BTC,IOST,Kucoin,Okex,0.229460157,88594.655,0.244365243,88505.06035,0.014905086,6.495718637
4/12/2019 13:43,0.383141763,BTC,IOST,Kucoin,Bittrex,0.229460157,88594.655,0.231634287,88505.06035,0.002174131,0.947498227
4/12/2019 13:46,9.578544061,BTC,IOST,Binance,Okex,0.5,191570.8812,0.514302011,191378.3103,0.014302011,2.860402287
4/12/2019 13:46,3.2962821,BTC,STORJ,Binance,Coss,0.0390055,748,0.039413785,743.752,0.000408285,1.046736326
4/12/2019 13:47,9.578544061,BTC,IOST,Kucoin,Okex,0.130838791,50129.805,0.138374199,50078.6752,0.007535408,5.75930746
4/12/2019 13:47,2.681992337,BTC,IOST,Kucoin,Bittrex,0.130838791,50129.805,0.131846815,50078.6752,0.001008024,0.770431941
4/12/2019 13:48,0.816822534,BTC,LTC,Southxchange,Binance,0.198088845,12.66552714,0.198419949,12.62653056,0.000331104,0.167149336
4/12/2019 13:48,0.278722833,BTC,LTC,Southxchange,Bitfinex,0.198088845,12.66552714,0.198334747,12.62653056,0.000245903,0.124137704
4/12/2019 13:48,0.323564475,BTC,LTC,Southxchange,Okex,0.198088845,12.66552714,0.198468378,12.62653056,0.000379533,0.191597542
4/12/2019 13:50,7.224334601,BTC,IOST,Binance,Okex,0.5,190114.0684,0.506668849,189922.9544,0.006668849,1.333769765
4/12/2019 13:50,3.67378342,BTC,STORJ,Binance,Coss,0.04361791,839,0.044210643,834.661,0.000592733,1.358921358
4/12/2019 13:51,7.633587786,BTC,IOST,Kucoin,Okex,0.12150853,46025.9938,0.126159727,45978.96781,0.004651198,3.827877363
4/12/2019 13:51,5.72519084,BTC,IOST,Kucoin,Bittrex,0.12150853,46025.9938,0.121956934,45978.96781,0.000448405,0.369031571
