time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%
4/12/2019 12:57,2.392590687,ETH,IOST,Binance,Okex,1.06149738,13667,1.07061727,13652.333,0.00911989,0.859153299
4/12/2019 12:58,7.613347255,ETH,DASH,Coss,Binance,0.61539095,0.905,0.642806049,0.89319,0.027415099,4.454907696
4/12/2019 12:58,7.409520728,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.641478028,0.89319,0.026087078,4.239106466
4/12/2019 12:58,7.270695157,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.639231638,0.89319,0.023840688,3.874071869
4/12/2019 12:58,7.648641892,ETH,DASH,Coss,Okex,0.61539095,0.905,0.641942507,0.89319,0.026551557,4.314583626
4/12/2019 12:58,7.543521228,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.645543686,0.89319,0.030152736,4.899769199
4/12/2019 13:00,2.389516958,ETH,IOST,Binance,Okex,2.45554064,31546,2.470664831,31513.454,0.015124191,0.615921009
4/12/2019 13:01,7.613347255,ETH,DASH,Coss,Binance,0.61539095,0.905,0.642313174,0.89319,0.026922224,4.374816279
4/12/2019 13:01,7.409667789,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.640802344,0.89319,0.025411394,4.129308956
4/12/2019 13:01,7.236871131,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.640475452,0.89319,0.025084502,4.076189538
4/12/2019 13:01,7.501580906,ETH,DASH,Coss,Okex,0.61539095,0.905,0.641084277,0.89319,0.025693327,4.175122732
4/12/2019 13:01,7.543521228,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.645543686,0.89319,0.030152736,4.899769199
4/12/2019 13:04,2.452176146,ETH,IOST,Binance,Okex,0.54110183,6947,0.545677283,6939.053,0.004575453,0.845580678
4/12/2019 13:04,1.397712834,ETH,IOST,Kucoin,Okex,0.927976262,11791.3121,0.929921087,11778.52079,0.001944824,0.20957695
4/12/2019 13:04,7.582464448,ETH,DASH,Coss,Binance,0.61539095,0.905,0.642543315,0.89319,0.027152365,4.412213957
4/12/2019 13:04,7.393491081,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.641381756,0.89319,0.025990806,4.223462494
4/12/2019 13:04,7.205988323,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.639815152,0.89319,0.024424202,3.968891951
